Rank,Name,Site,Country,Power (kW),Total Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Computer,Year,Latitude,Longitude
254,Ohtaka,"The Institute for Solid State Physics, The University of Tokyo",Japan,,215040,3486.1,6881.28,"PowerEdge C6525, AMD EPYC 7702 64C 2GHz, Mellanox HDR Infiniband",2020,35.71339,139.76232
255,Pegasus,"Center for Computational Sciences, University of Tsukuba",Japan,67.87,21600,3478.0,6507.07,"NEC LX 102Bk-6, Xeon Platinum 8468 48C 2.1GHz, NVIDIA H100 PCIe 80 GB, Infiniband NDR 200",2023,36.2,140.1
256,BA1A,Service Provider B,China,,81920,3476.28,6815.74,"ThinkSystem HR650X, Intel Xeon Gold 8350C 32C 2.6GHz, 25G Ethernet",2022,35.0,105.0
257,CARO,German Aerospace Center,Germany,,174592,3458.3,5586.94,"NEC HPC2808Ri-2, AMD EPYC 7702 64C 2GHz, InfiniBand HDR100",2021,50.8532848,7.124659
258,davinci-1,Leonardo SpA,Italy,,38400,3449.0,6412.03,"BullSequana X, AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR Infiniband",2020,40.672423,17.9192836
259,Tenaya,DOE/NNSA/LLNL,United States,,22656,3411.16,4369.15,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",2022,40.42103,-74.52878
260,Cedar (GPU),Simon Fraser University/Compute Canada,Canada,310.0,67584,3371.0,5834.4,"PowerEdge C6420, Xeon Silver 4216 16C 2.1GHz, NVIDIA Tesla V100, Intel Omni-Path",2020,,
261,Molecular Simulator,Institute for Molecular Science,Japan,,106496,3340.29,4174.64,"Apollo 2000 Gen10 Plus, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100, InfiniBand HDR 100",2023,35.68536,139.75309
262,ASPIRE 2A (GPU Partition),National Supercomputing Centre Singapore,Singapore,,43648,3328.0,6483.88,"HPE Cray EX235n, Apollo 6500, AMD EPYC 7713 64C 2GHz, NVIDIA A100 SXM4 40 GB, Slingshot-10",2022,1.28967,103.85007
263,NA4,Software Company,United States,,85248,3320.05,7092.63,"Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet",2023,40.393222,-105.17349
264,NA4A,Software Company,United States,,85248,3320.05,7092.63,"Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet",2023,40.393222,-105.17349
265,Topaz,ERDC DSRC,United States,5175.0,124200,3318.95,4570.56,"SGI ICE X, Xeon E5-2699v3 18C 2.3GHz, Infiniband FDR",2015,37.28255,-90.63734
266,,Facebook,United States,349.5,60512,3307.0,4896.512,"NVIDIA DGX-1/Relion 2904GT, Xeon E5-2698v4 20C 2.2GHz/ E5-2650v4, Infiniband EDR, NVIDIA Tesla P100/Quadro GP100",2017,30.2691649,-97.7455041
267,Topaze-cpu,Commissariat a l'Energie Atomique (CEA)/CCRT,France,,110592,3261.02,4335.21,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR100",2021,46.0,2.0
268,Damson,AWE,United Kingdom,1134.0,113832,3243.41,3791.5776,"Bull Sequana X1000, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR",2017,56.4949613,-4.2505723
269,LLNL/NNSA CTS-1 MAGMA,Lawrence Livermore National Laboratory,United States,887.0,62400,3241.24,4592.64,"Relion Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Intel Omni-Path",2019,37.687781,-121.7083093
270,Mustang,Air Force Research Laboratory,United States,,55296,3221.4,4777.574,"HPE SGI 8600, Xeon Platinum 8168 24C 2.7GHz, Intel Omni-Path",2018,35.055669,-106.602469
271,NA13A,Software Company,United States,,156160,3201.53,6121.47,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",2023,40.393222,-105.17349
272,NA13,Software Company,United States,,156160,3201.53,6121.47,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",2023,40.393222,-105.17349
273,"Big Red 200, GPU Partition",Indiana University,United States,,31744,3194.0,4006.14,"HPE Cray EX235n, AMD EPYC 7713 64C 2GHz, NVIDIA A100, Slingshot-10",2021,39.1802358,-86.5093526
274,HPC2,Eni S.p.A.,Italy,1227.0,72000,3188.0,4605.0,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x",2014,40.8482029,14.299961
275,Dream-AI,GIST SCENT,South Korea,,36960,3179.0,6418.18,"INSPUR NF5688M6, Intel Xeon Gold 6330 28C 2GHz, NVIDIA A100 SXM4 40 GB, Mellanox HDR Infiniband",2022,36.5,127.75
276,Fênix,Petróleo Brasileiro S.A,Brazil,389.76,60480,3161.0,5371.776,"Bull 4029GP-TVRT, Xeon Gold 5122 4C 3.6GHz, NVIDIA Tesla V100, Infiniband EDR",2019,-10.0,-55.0
277,Toubkal,Mohammed VI Polytechnic University - African Supercomputing Centre,Morocco,,71232,3158.11,5014.73,"PowerEdge C6420, CRC-StackHPC, Xeon Platinum 8276L 28C 2.2GHz, Mellanox InfiniBand HDR100",2020,32.0,-6.0
278,,Software Company MUS,United States,,71680,3151.69,6193.15,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",2021,40.397611,-105.097685
279,B5A,Software Company MUS,United States,,71680,3151.69,6193.15,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet",2021,40.397611,-105.097685
280,AID1,Software Company MIR,Ireland,,71680,3151.68,6193.15,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, Broadcom",2022,53.0,-8.0
281,NOJP1,Software Company MJP,Japan,,71680,3151.68,6193.15,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, Broadcom",2022,35.68536,139.75309
282,NONY1,Software Company MNY,Norway,,71680,3151.68,6193.15,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, Broadcom",2022,62.0,10.0
283,NO6,Software Company MUS,United States,,71680,3151.68,6193.15,"ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, Broadcom",2022,40.397611,-105.097685
284,Lichtenberg II (Phase 1),Technische Universitaet Darmstadt,Germany,690.0,59136,3148.38,4352.41,"MEGWARE MiriQuid, Intel Xeon Platinum 9242 48C 2.3GHz, Mellanox InfiniBand HDR100",2020,49.8611517,8.681944
285,,Government,United States,6327.55,225984,3143.52,4881.2544,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect ",2014,38.9531545,-92.3313718
286,CLAIX-2023 (CPU segment),Universitaet Aachen/RWTH - IT Center,Germany,676.45,57408,3133.42,3812.66,"NEC HPC1808Rk-2 DLC, Xeon Platinum 8468 48C 2.1GHz, Infiniband NDR",2024,51.5,10.5
287,B2G,Software Company MNED,Netherlands,,92160,3131.25,6193.15,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2022,52.25,5.75
288,A1C,Software Company MSG,Singapore,,92160,3131.25,6193.15,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2021,1.28967,103.85007
289,A5A,Software Company MUS,United States,,92160,3131.25,6193.15,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2021,40.397611,-105.097685
290,A1A,Software Company MUS,United States,,92160,3131.25,6193.15,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2021,40.397611,-105.097685
291,A1A,Software Company MUS,United States,,92160,3131.25,6193.15,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2021,40.397611,-105.097685
292,NO4,Software Company MUS,United States,,92160,3131.25,6193.15,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2022,40.397611,-105.097685
293,NA8B,Software Company,United States,,84096,3127.57,6996.79,"Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet",2023,40.393222,-105.17349
294,NA8A,Software Company,United States,,84096,3127.57,6996.79,"Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet",2023,40.393222,-105.17349
295,NA8,Software Company,United States,,84096,3127.57,6996.79,"Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet",2023,40.393222,-105.17349
296,NA8,Software Company,United States,,84096,3127.57,6996.79,"Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet",2023,40.393222,-105.17349
297,NA8Z,Software Company,United States,,84096,3127.57,6996.79,"Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet",2024,40.393222,-105.17349
298,Thunder,Air Force Research Laboratory,United States,4819.5,152692,3126.24,5610.481,"SGI ICE X, Xeon E5-2699v3/E5-2697 v3, Infiniband FDR, NVIDIA Tesla K40, Intel Xeon Phi 7120P",2015,35.055669,-106.602469
299,HoreKa-Teal,Karlsruher Institut für Technologie (KIT) ,Germany,49.6,13616,3123.0,5962.0,"ThinkSystem SD665-N V3, AMD EPYC 9354 32C 3.25GHz, Nvidia H100 94Gb SXM5, Infiniband NDR200",2023,49.1018534,8.4331202
300,Komondor,Governmental Information-Technology Development Agency (KIFÜ),Hungary,110.24,27776,3105.0,4508.49,"HPE Cray EX, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Slingshot-11",2022,47.0,20.0
301,Lichtenberg II (Phase 2),Technische Universitaet Darmstadt,Germany,,59904,3098.52,4025.5488,"ThinkSystem SD650 V3, Xeon Platinum 8470Q 52C 2.1GHz, InfiniBand HDR100",2023,49.8611517,8.681944
302,VEGA HPC GPU,IZUM,Slovenia,,33600,3096.0,4680.0,"BullSequana XH2000, AMD EPYC 7H12 64C 2.6GHz, NVIDIA A100, Infiniband HDR",2021,46.5635243,15.6513517
303,,Service Provider T,China,,76000,3088.64,6080.0,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",2019,35.0,105.0
304,Alps,Swiss National Supercomputing Centre (CSCS),Switzerland,637.95,128000,3088.6,4608.0,"HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",2020,46.0244656,8.9600452
305,Helios CPU,Cyfronet,Poland,453.8,75264,3086.4,3352.59,"HPE Cray EX, AMD EPYC 9654 96C 2.4GHz, Slingshot-11",2023,52.1238555,21.3362914
306,Numerical Materials Simulator,National Institute for Materials Science,Japan,691.2,53568,3082.12,4971.1104,"HPE SGI 8600, Xeon Platinum 8268 24C 2.9GHz, Dual-rail Intel Omni-Path",2020,36.0734025,140.1201334
307,Hera,NOAA Environmental Security Computer Center,United States,,63840,3080.85,4884.48,"Cray CS500, Xeon Gold 6148 20C 2.4GHz, Infiniband HDR",2019,38.750408,-104.741783
308,Camphor 2,"Academic Center for Computing and Media Studies (ACCMS),  Kyoto University",Japan,748.1,122400,3057.35,5483.52,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ",2016,35.68536,139.75309
309,Jean Zay,CNRS/IDRIS-GENCI,France,,61120,3054.35,4867.2,"HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, Intel Omni-Path",2019,48.282887,-0.089045
310,Barnard,"TU Dresden, ZIH",Germany,535.7,65520,3047.36,4046.85,"EVIDEN BullSequana X2140, Xeon Platinum 8470 52C 2GHz, Mellanox HDR Infiniband",2023,51.5,10.5
311,Palmetto2,Clemson University,United States,,52080,3011.0,4580.12,"PowerEdge R740/R740xd/R750, Xeon 8358/6148/6248/6238R/6258R, NVIDIA Tesla A100 80G/40G, InfiniBand HDR100",2022,34.6686915,-82.8374348
312,Mistral,DKRZ - Deutsches Klimarechenzentrum,Germany,1116.0,99072,3010.68,3962.88,"bullx DLC 720, Xeon E5-2680v3 12C 2.5GHz/E5-2695V4 18C  2.1Ghz, Infiniband FDR",2015,51.5,10.5
313,ARF,TRUBA,Turkey,,55552,3003.29,3555.33,"ThinkSystem SD650 v3, Xeon Platinum 8480+ 56C 2GHz, Infiniband NDR200",2023,36.8584957,30.8785647
314,NO3,Software Company MUS,United States,,88320,3000.78,5935.1,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2022,40.397611,-105.097685
315,,Service Provider T,China,,73600,2994.04,5888.0,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",2019,35.0,105.0
316,HHH1,Service Provider T,China,,80640,2975.29,6451.2,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",2021,35.0,105.0
317,III1,Service Provider T,China,,79680,2975.08,6374.4,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",2021,35.0,105.0
318,Tetralith,National Supercomputer Centre (NSC),Sweden,,64512,2969.19,4335.206,"Intel H2204XXLRE, Xeon Gold 6130 16C 2.1GHz, Intel Omni-Path",2018,62.0,15.0
319,,Volkswagen AG at Green Mountain A/S,Norway,,53568,2955.0,4456.86,"NEC HPC 124Rj-1, Xeon Platinum 8358 32C 2.6GHz, Intel Omni-Path",2022,62.0,10.0
320,JJJ1,Service Provider T,China,,78720,2933.42,6297.6,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",2021,35.0,105.0
321,,Service Provider T,China,,72000,2931.84,5760.0,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",2019,35.0,105.0
322,A9A,Software Company MUS,United States,,86016,2922.5,5780.28,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2021,40.397611,-105.097685
323,A6A,Software Company MUS,United States,,86016,2922.5,5780.28,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2021,40.397611,-105.097685
324,Jean,Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC),United States,,55296,2917.56,4069.79,"Liqid Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Infiniband HDR",2020,36.341432,-83.338693
325,KKK1,Service Provider T,China,,77760,2910.09,6220.8,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",2021,35.0,105.0
326,,Central South University,China,,49056,2889.41,4709.38,"Inspur TS10000 HPC Server, Xeon Gold 6248R 24C 3GHz, InfiniBand HDR 100",2020,35.0,105.0
327,LLL1,Service Provider T,China,,76800,2882.76,6144.0,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",2021,35.0,105.0
328,Henri,Flatiron Institute,United States,44.07,8288,2882.0,3579.13,"ThinkSystem SR670 V2, Intel Xeon Platinum 8362 32C 2.8GHz, NVIDIA H100 80GB PCIe, Infiniband HDR",2022,38.33703,-77.767418
329,,Service Provider K,China,,93600,2873.41,6289.92,"ThinkSystem HR650X, Xeon Gold 6230R 26C 2.1GHz, 10G Ethernet",2021,35.0,105.0
330,A8A,Software Company MUS,United States,,84480,2870.31,5677.06,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2021,40.397611,-105.097685
331,A8A,Software Company MUS,United States,,84480,2870.31,5677.06,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2021,40.397611,-105.097685
332,A3A,Software Company MUS,United States,,84480,2870.31,5677.06,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2021,40.397611,-105.097685
333,A14A,Software Company MUS,United States,,84480,2870.31,5677.06,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2022,40.397611,-105.097685
334,A14A,Software Company MUS,United States,,84480,2870.31,5677.06,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2022,40.397611,-105.097685
335,,Financial Services P,China,,94160,2867.64,6327.55,"ThinkSystem SR650, Xeon Gold 6238 22C 2.1GHz, 10G Ethernet",2020,35.0,105.0
336,MMM1,Service Provider T,China,,75840,2857.04,6067.2,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",2021,35.0,105.0
337,"Karolina, CPU partition","IT4Innovations National Supercomputing Center, VSB-Technical University of Ostrava",Czechia,502.7,92160,2837.4,3833.86,"Apollo 2000, AMD EPYC 7H12 64C 2.6GHz, InfiniBand HDR 100",2021,49.83465,18.28204
338,NNN1,Service Provider T,China,,74880,2834.05,5990.4,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",2021,35.0,105.0
339,Freeman,ERDC DSRC,United States,,79104,2829.0,3670.43,"Cray CS500, AMD EPYC 7542 32C 2.9GHz, Mellanox InfiniBand HDR100",2020,37.28255,-90.63734
340,SuperMUC Phase 2,Leibniz Rechenzentrum,Germany,1480.83,86016,2813.62,3578.266,"NeXtScale nx360M5, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR14",2015,48.2618918,11.666948
341,OOO1,Service Provider T,China,,73920,2804.41,5913.6,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",2021,35.0,105.0
342,,United Kingdom Meteorological Office,United Kingdom,1347.84,89856,2801.782,3019.162,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",2016,54.75844,-2.69531
343,,United Kingdom Meteorological Office,United Kingdom,1347.84,89856,2801.782,3019.162,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",2016,54.75844,-2.69531
344,JFRS-1,"Rokkasho Fusion Institute, National Institutes for Quantum and Radiological Science and Technology",Japan,697.51,54560,2787.14,4190.208,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ",2018,,
345,,Service Provider T,China,,68000,2779.84,5440.0,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",2019,35.0,105.0
346,,Volkswagen AG at Green Mountain A/S,Norway,,59520,2775.4,3475.97,"NEC LX HPC 224Rk-1, AMD EPYC 9454 48C 2.75GHz, Intel Omni-Path",2023,62.0,10.0
347,,Service Provider T,China,,72960,2774.23,5836.8,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",2021,35.0,105.0
348,Spartan3,Atos,France,,92160,2751.0,3612.67,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, Mellanox InfiniBand HDR100",2021,47.8528227,1.9111125
349,ZZ2,Service Provider T,China,,67200,2749.28,5376.0,"ThinkSystem HR650X, Xeon Gold 6133 20C 2.5GHz, 10G Ethernet",2020,35.0,105.0
350,,Service Provider T,China,,66400,2746.3,5312.0,"ThinkSystem SR650, Xeon Gold 6248 20C 2.5GHz, 25G Ethernet",2019,35.0,105.0
351,,Government,China,,59976,2744.84,5354.878,"ThinkSystem SR650, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, Infiniband EDR",2019,35.0,105.0
352,,Service Provider T,China,,72000,2742.91,5760.0,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",2021,35.0,105.0
353,VSC-4,Vienna Scientific Cluster,Austria,,37920,2726.0779,3761.664,"ThinkSystem SD650, Xeon Platinum 8174 24C 3.1GHz, Intel Omni-Path",2019,47.33333,13.33333
354,SNL/NNSA CTS-1 Attaway,Sandia National Laboratories,United States,750.0,52920,2724.52,3894.912,"Tundra Extreme Scale, Xeon Gold 6140 18C 2.3GHz, Intel Omni-Path",2019,37.6736516,-121.7072096
355,ZZ3,Service Provider T,China,,66400,2721.33,5312.0,"ThinkSystem HR650X, Xeon Gold 6133 20C 2.5GHz, 10G Ethernet",2020,35.0,105.0
356,Lucia,Cenaero,Belgium,,23200,2717.0,3094.02,"Apollo 6500, AMD EPYC 7513 32C 2.6GHz, NVIDIA A100 SXM4 40 GB, Mellanox HDR Infiniband",2022,50.75,4.5
357,,Service Provider T,China,,71040,2710.88,5683.2,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",2021,35.0,105.0
358,ZZ4,Service Provider T,China,,65600,2691.69,5248.0,"ThinkSystem HR650X, Xeon Gold 6133 20C 2.5GHz, 10G Ethernet",2020,35.0,105.0
359,,Service Provider T,China,,70080,2677.05,5606.4,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",2021,35.0,105.0
360,Banting,Shared Services Canada,Canada,,53200,2676.74,4085.76,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ",2019,45.417208,-75.7079985
361,Hypercluster,Microsoft Research ,United States,,47808,2666.0,4219.085,"NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, NVIDIA Tesla V100, Mellanox InfiniBand EDR",2019,42.3616283,-71.081069
362,A14A,Software Company MCA,Canada,,78336,2661.56,5264.18,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2022,60.10867,-113.64258
363,NO2,Software Company MUS,United States,,78336,2661.56,5264.18,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2022,40.397611,-105.097685
364,ZZ5,Service Provider T,China,,64800,2661.46,5184.0,"ThinkSystem HR650X, Xeon Gold 6133 20C 2.5GHz, 10G Ethernet",2020,35.0,105.0
365,ZZ6,Service Provider T,China,,69120,2654.04,5529.6,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",2020,35.0,105.0
366,,Cloud Company,China,,128000,2651.95,4710.4,"ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",2020,35.0,105.0
367,Grace,Texas A&M University,United States,,43200,2638.53,4829.34,"PowerEdge R640/R740/R840, Xeon Gold 6248R/6248R/6248, 24C 3.0GHz, InfiniBand HDR100",2020,30.6108618,-96.3520606
368,LLNL/NNSA CTS-1 Jade,Lawrence Livermore National Laboratory,United States,13620.0,95472,2632.51,3207.8592,"Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-Path",2016,37.687781,-121.7083093
369,LLNL CTS-1 Quartz,Lawrence Livermore National Laboratory,United States,13620.0,95472,2632.51,3207.8592,"Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-Path",2016,37.687781,-121.7083093
370,NEA1,Service Provider NE,China,,144000,2632.45,5529.6,"ThinkSystem SR630, Intel Xeon Gold 4214R 12C 2.4GHz, 10G Ethernet",2022,35.0,105.0
371,,Service Provider T,China,,64000,2621.44,5120.0,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",2019,35.0,105.0
372,,Tsinghua University,China,,50400,2610.0,4354.56,"Inspur TS10000, Xeon Gold 6258R 28C 2.7GHz, InfiniBand HDR100",2020,40.0022905,116.320963
373,A7A,Software Company MUS,United States,,76800,2609.38,5160.96,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2021,40.397611,-105.097685
374,A7A,Software Company MUS,United States,,76800,2609.38,5160.96,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2021,40.397611,-105.097685
375,A1B,Software Company MUS,United States,,76800,2609.38,5160.96,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2021,40.397611,-105.097685
376,NO1,Software Company MUS,United States,,76800,2609.37,5160.96,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",2022,40.397611,-105.097685
377,,Service Provider T,China,,68160,2609.16,5452.8,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",2021,35.0,105.0
378,Cedar (CPU),Simon Fraser University/Compute Canada,Canada,792.0,67584,2607.98,4895.539,"PowerEdge C6420, Xeon Platinum 8160  24C 2.1GHz, Intel Omni-Path",2020,,
379,Daley,Shared Services Canada,Canada,,53200,2598.28,4085.76,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ",2019,45.417208,-75.7079985
380,AlphaCentauri,"TU Dresden, ZIH",Germany,163.65,31008,2592.0,5364.06,"NEC HPC 22S8Ri-4, EPYC 7352 24C 2.3GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR200",2021,51.5,10.5
381,HPC3,Energy Company (A),Italy,,66000,2592.0,3798.6,"Lenovo NeXtScale nx360M5, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR, NVIDIA Tesla K80",2017,42.83333,12.83333
382,,Service Provider T,China,,62400,2590.84,4992.0,"ThinkSystem SR650, Xeon Gold 6248 20C 2.5GHz, 25G Ethernet",2020,35.0,105.0
383,Conesus,University of Rochester - Laboratory for Laser Energetics,United States,409.25,43008,2589.48,2752.51,"PowerEdge C6220, Xeon Platinum 8480+ 56C 2GHz, Infiniband HDR200",2023,43.128127,-77.632763
384,,Service Provider T,China,,64320,2583.09,5145.6,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",2020,35.0,105.0
385,,Service Provider K,China,,83200,2581.02,5591.04,"ThinkSystem HR650X, Xeon Gold 6230R 26C 2.1GHz, 10G Ethernet",2021,35.0,105.0
386,ASPIRE 2A (CPU Partition),National Supercomputing Centre Singapore,Singapore,,98304,2578.58,3108.86,"HPE Cray EX425, AMD EPYC 7713 64C 2GHz, Slingshot-10",2022,1.28967,103.85007
387,,Service Provider T,China,,67200,2574.02,5376.0,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",2021,35.0,105.0
388,Mihir,National Centre for Medium Range Weather Forecasting,India,954.73,83592,2570.4,2808.691,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",2018,28.6244782,77.3591772
389,Spartan2,Atos,France,105.76,23040,2566.0,3847.22,"Bull Sequana XH2000 , AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR Infiniband",2020,47.8528227,1.9111125
390,,Japan Meteorological Agency,Japan,438.03,55552,2547.81,3377.56,"PRIMERGY CX2550M7, Xeon CPU Max 9480 56C 1.9GHz, Infiniband NDR200",2023,35.6898046,139.7613158
391,,Japan Meteorological Agency,Japan,438.03,55552,2547.81,3377.56,"PRIMERGY CX2550M7, Xeon CPU Max 9480 56C 1.9GHz, Infiniband NDR200",2023,35.6898046,139.7613158
392,PAI-BSystem,China Meteorological Administration,China,710.0,50816,2547.0,4229.8496,"Sugon TC4600LP/W740I, Xeon Gold 6142 16C 2.6GHz, Infiniband EDR, NVIDIA Tesla P100",2018,35.0,105.0
393,cascade,DOE/SC/Pacific Northwest National Laboratory,United States,1384.0,194616,2539.13,3388.032,"Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",2013,34.234834,-78.004346
394,Rattler,Dell Technologies HPC & AI Innovation Lab,United States,,26880,2531.0,3940.61,"PowerEdge XE8545, AMD EPYC 7713 64C 2GHz, NVIDIA A100 80GB​, Infiniband HDR200 dual rail",2021,48.390413,-115.574347
395,HEMUS,Institute of Information and Communication Technologies at the Bulgarian Academy of Sciences,Bulgaria,,19840,2526.0,3212.16,"HPE Proliant XL675d Gen10 Plus, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR",2023,42.66667,25.25
396,Improv,DOE/SC/Argonne National Laboratory,United States,,105600,2509.7,3379.2,"PowerEdge R6525, AMD EPYC 7713 64C 2GHz, Infiniband",2023,34.088934,-88.505164
397,UltraViolet,NYU Langone Health,United States,,27680,2499.0,4707.02,"PowerEdge R750XA, AMD EPYC 7402 24C 2.8GHz, NVIDIA Tesla A100 80G, Mellanox HDR Infiniband",2018,40.7434467,-73.9722189
